airline_id,name,code_type,iata_code,icao_code,country,region,status,active,website,wikidata_id,notes
JS,Air Koryo,iata,JS,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
JT,Lion Air,iata,JT,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
JU,Jat Airways,iata,JU,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
JV,Bearskin Lake Air Services LP,iata,JV,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
JW,"AirAsia Japan Co., Ltd.",iata,JW,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
JY,Air Turks,iata,JY,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
K2,Eurolot,iata,K2,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
K3,Taquan Air Services,iata,K3,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
K4,ALS Ltd,iata,K4,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
K5,Wings Of Alaska SeaPort Airline,iata,K5,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
K6,Cambodia Angkor Air,iata,K6,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
K7,Air KBZ,iata,K7,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
K8,Kan Air,iata,K8,,,,unknown,,,,"Imported from original repository. Country, status, and source enrichment pending."
